method,N,seed,estimate
uniform,64,195,0.27791952183910051
importance,64,195,0.31515663995747972
missing_half,64,195,0.034739940229887564
uniform,64,196,0.31655442748305429
importance,64,196,0.33615669671133591
missing_half,64,196,0.039569303435381786
uniform,64,197,0.32138838612528337
importance,64,197,0.3261821334231691
missing_half,64,197,0.040173548265660421
uniform,64,198,0.26811643198084018
importance,64,198,0.30843511471975898
missing_half,64,198,0.033514553997605022
uniform,64,199,0.31297184390057359
importance,64,199,0.32881530876876064
missing_half,64,199,0.039121480487571698
uniform,64,200,0.40267833037655054
importance,64,200,0.35985923347420695
missing_half,64,200,0.050334791297068818
uniform,64,201,0.35789425376170159
importance,64,201,0.34780793125969384
missing_half,64,201,0.044736781720212698
uniform,64,202,0.35689527265832527
importance,64,202,0.34747510980484314
missing_half,64,202,0.044611909082290659
uniform,64,203,0.40950323378810904
importance,64,203,0.35851462769884501
missing_half,64,203,0.051187904223513631
uniform,64,204,0.39234166622326944
importance,64,204,0.35070898826857916
missing_half,64,204,0.04904270827790868
uniform,64,205,0.36662829076874059
importance,64,205,0.35403611715575523
missing_half,64,205,0.045828536346092574
uniform,64,206,0.32303849109597038
importance,64,206,0.33838373880472766
missing_half,64,206,0.040379811386996298
uniform,64,207,0.34160036257535442
importance,64,207,0.33666370047391581
missing_half,64,207,0.042700045321919303
uniform,64,208,0.35031850662458502
importance,64,208,0.3391289524587896
missing_half,64,208,0.043789813328073128
uniform,64,209,0.32779556721240644
importance,64,209,0.33548170130499599
missing_half,64,209,0.040974445901550804
uniform,64,210,0.31243518154836331
importance,64,210,0.32910470291462962
missing_half,64,210,0.039054397693545413
uniform,64,211,0.36616252103088415
importance,64,211,0.34332146505352823
missing_half,64,211,0.045770315128860518
uniform,64,212,0.3647565559383445
importance,64,212,0.32987548363499691
missing_half,64,212,0.045594569492293062
uniform,64,213,0.32484913369570384
importance,64,213,0.33130673708525443
missing_half,64,213,0.04060614171196298
uniform,64,214,0.29629602111773568
importance,64,214,0.32384855002397023
missing_half,64,214,0.037037002639716959
uniform,64,215,0.28303178983425648
importance,64,215,0.31675098668522206
missing_half,64,215,0.035378973729282059
uniform,64,216,0.39622049429793832
importance,64,216,0.35318853042297427
missing_half,64,216,0.04952756178724229
uniform,64,217,0.2840165725989871
importance,64,217,0.31547532564392272
missing_half,64,217,0.035502071574873388
uniform,64,218,0.28769668317316671
importance,64,218,0.31280770560827015
missing_half,64,218,0.035962085396645839
uniform,64,219,0.37387487168738082
importance,64,219,0.34468101173175031
missing_half,64,219,0.046734358960922602
uniform,64,220,0.31712518239252013
importance,64,220,0.33828260910331237
missing_half,64,220,0.039640647799065017
uniform,64,221,0.31137399091093387
importance,64,221,0.32221594095135642
missing_half,64,221,0.038921748863866734
uniform,64,222,0.34856548837340723
importance,64,222,0.34273454616975274
missing_half,64,222,0.043570686046675904
uniform,64,223,0.3552201157210213
importance,64,223,0.33946418418512414
missing_half,64,223,0.044402514465127663
uniform,64,224,0.26122179060689721
importance,64,224,0.31226307295792899
missing_half,64,224,0.032652723825862151
uniform,64,225,0.35891221845814647
importance,64,225,0.34163365630709208
missing_half,64,225,0.044864027307268309
uniform,64,226,0.33936167059673605
importance,64,226,0.32920287692330696
missing_half,64,226,0.042420208824592007
uniform,64,227,0.38904422116343412
importance,64,227,0.34983001437775424
missing_half,64,227,0.048630527645429265
uniform,64,228,0.25430953284905278
importance,64,228,0.30036117482505281
missing_half,64,228,0.031788691606131597
uniform,64,229,0.3389319320730938
importance,64,229,0.33734082428690504
missing_half,64,229,0.042366491509136725
uniform,64,230,0.35987731085405367
importance,64,230,0.3351071045110402
missing_half,64,230,0.044984663856756708
uniform,64,231,0.32590648900452007
importance,64,231,0.32821429503650218
missing_half,64,231,0.040738311125565009
uniform,64,232,0.27332611210170099
importance,64,232,0.31410866792224973
missing_half,64,232,0.034165764012712624
uniform,64,233,0.33533453082268466
importance,64,233,0.3353266965365605
missing_half,64,233,0.041916816352835583
uniform,64,234,0.36785208633710675
importance,64,234,0.34790984944288894
missing_half,64,234,0.045981510792138344
uniform,64,235,0.30531232010320697
importance,64,235,0.32445157881034931
missing_half,64,235,0.038164040012900871
uniform,64,236,0.37876159961572181
importance,64,236,0.33930040998969796
missing_half,64,236,0.047345199951965226
uniform,64,237,0.28933632604449039
importance,64,237,0.31829676398723378
missing_half,64,237,0.036167040755561299
uniform,64,238,0.40723776145742457
importance,64,238,0.34042822344286239
missing_half,64,238,0.050904720182178072
uniform,64,239,0.36814055017863601
importance,64,239,0.34478589115280711
missing_half,64,239,0.046017568772329501
uniform,64,240,0.38946088695423686
importance,64,240,0.35311609956100409
missing_half,64,240,0.048682610869279608
uniform,64,241,0.36417267184931129
importance,64,241,0.33282543177823631
missing_half,64,241,0.045521583981163911
uniform,64,242,0.3188533339979282
importance,64,242,0.31482468168020883
missing_half,64,242,0.039856666749741025
uniform,64,243,0.27850433731485758
importance,64,243,0.31881202260646202
missing_half,64,243,0.034813042164357197
uniform,64,244,0.35268615212892301
importance,64,244,0.33360589042239569
missing_half,64,244,0.044085769016115377
uniform,64,245,0.35684326889575624
importance,64,245,0.33803586889050191
missing_half,64,245,0.04460540861196953
uniform,64,246,0.36064004060722199
importance,64,246,0.34229297817728721
missing_half,64,246,0.045080005075902749
uniform,64,247,0.2978871522094505
importance,64,247,0.32811925864686786
missing_half,64,247,0.037235894026181313
uniform,64,248,0.38549566485863351
importance,64,248,0.3518291057284666
missing_half,64,248,0.048186958107329189
uniform,64,249,0.31361703897697946
importance,64,249,0.32793125281244057
missing_half,64,249,0.039202129872122432
uniform,64,250,0.32876537379330312
importance,64,250,0.33293161626950502
missing_half,64,250,0.04109567172416289
uniform,64,251,0.34574268374102546
importance,64,251,0.33126537001013795
missing_half,64,251,0.043217835467628182
uniform,64,252,0.35241857234674939
importance,64,252,0.33815748392127631
missing_half,64,252,0.044052321543343674
uniform,64,253,0.36447706940450869
importance,64,253,0.34578542936225681
missing_half,64,253,0.045559633675563586
uniform,64,254,0.31977110895850158
importance,64,254,0.33281872450015332
missing_half,64,254,0.039971388619812698
uniform,64,255,0.3014156366208588
importance,64,255,0.32456996834708385
missing_half,64,255,0.037676954577607349
uniform,64,256,0.29241858617875588
importance,64,256,0.32405148456892674
missing_half,64,256,0.036552323272344485
uniform,256,1,0.32953350918914703
importance,256,1,0.32893650656404622
missing_half,256,1,0.041191688648643379
uniform,256,2,0.34097181178591784
importance,256,2,0.34213503079210617
missing_half,256,2,0.042621476473239731
uniform,256,3,0.31592556178834774
importance,256,3,0.33234985719600796
missing_half,256,3,0.039490695223543468
uniform,256,4,0.33986006895663634
importance,256,4,0.33057138192263502
missing_half,256,4,0.042482508619579543
uniform,256,5,0.35692350980184445
importance,256,5,0.33785597306360754
missing_half,256,5,0.044615438725230556
uniform,256,6,0.33912762563273291
importance,256,6,0.34087161955738005
missing_half,256,6,0.042390953204091614
uniform,256,7,0.32666853554885089
importance,256,7,0.33918767078551493
missing_half,256,7,0.040833566943606361
uniform,256,8,0.32282714956697645
importance,256,8,0.33337736723547806
missing_half,256,8,0.040353393695872056
uniform,256,9,0.33066091615879689
importance,256,9,0.32620362851119888
missing_half,256,9,0.041332614519849611
uniform,256,10,0.28659190773429777
importance,256,10,0.31698038509609378
missing_half,256,10,0.035823988466787221
uniform,256,11,0.33723266712508504
importance,256,11,0.33425695650394288
missing_half,256,11,0.04215408339063563
uniform,256,12,0.32137453307649649
importance,256,12,0.32667721944442712
missing_half,256,12,0.040171816634562062
uniform,256,13,0.31948099465328811
importance,256,13,0.32423255152983305
missing_half,256,13,0.039935124331661014
uniform,256,14,0.32263654114428181
importance,256,14,0.32739094683132014
missing_half,256,14,0.040329567643035226
uniform,256,15,0.32140618147620004
importance,256,15,0.32860148964503261
missing_half,256,15,0.040175772684525005
uniform,256,16,0.33220817411298487
importance,256,16,0.33304518074377776
missing_half,256,16,0.041526021764123108
uniform,256,17,0.33906670197386085
importance,256,17,0.33474459406056439
missing_half,256,17,0.042383337746732606
